/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 2150, overall loss is 1.6439428329467773
iter is 2160, overall loss is 1.496713399887085
iter is 2170, overall loss is 1.490113377571106
iter is 2180, overall loss is 1.5332274436950684
iter is 2190, overall loss is 1.3888163566589355
iter is 2200, overall loss is 1.694813847541809
iter is 2210, overall loss is 1.493385910987854
iter is 2220, overall loss is 1.562577724456787
iter is 2230, overall loss is 1.5280728340148926
iter is 2240, overall loss is 1.5262715816497803
iter is 2250, overall loss is 1.4186434745788574
iter is 2260, overall loss is 1.6853774785995483
iter is 2270, overall loss is 1.3937665224075317
iter is 2280, overall loss is 1.4522449970245361
iter is 2290, overall loss is 1.3101093769073486
iter is 2300, overall loss is 1.294219732284546
iter is 2310, overall loss is 0.9589453935623169
iter is 2320, overall loss is 1.5659509897232056
iter is 2330, overall loss is 1.476710557937622
iter is 2340, overall loss is 1.3496047258377075
iter is 2350, overall loss is 1.5203150510787964
iter is 2360, overall loss is 1.3432228565216064
iter is 2370, overall loss is 1.7316899299621582
iter is 2380, overall loss is 1.4717216491699219
iter is 2390, overall loss is 1.4132859706878662
iter is 2400, overall loss is 1.3832882642745972
iter is 2410, overall loss is 1.1849782466888428
iter is 2420, overall loss is 1.36534583568573
iter is 2430, overall loss is 1.505940556526184
iter is 2440, overall loss is 1.384359359741211
iter is 2450, overall loss is 1.3617773056030273
iter is 2460, overall loss is 1.5500175952911377
iter is 2470, overall loss is 1.5411226749420166
iter is 2480, overall loss is 1.5254926681518555
iter is 2490, overall loss is 1.5740625858306885
iter is 2500, overall loss is 1.3128645420074463
---------starting evaluation-----------
Racall rate is 0.6582168459261126, Precision rate is 0.790767998703416, OA is 0.8783261528015137, F1 score is 0.7184296231875987, IoU is 0.5605853850761751, Kappa coefficient is 0.6416517777199766
iter is 2510, overall loss is 1.2324786186218262
iter is 2520, overall loss is 1.4048545360565186
iter is 2530, overall loss is 1.6311285495758057
iter is 2540, overall loss is 1.2720119953155518
iter is 2550, overall loss is 1.6672992706298828
iter is 2560, overall loss is 1.2938402891159058
iter is 2570, overall loss is 1.5365082025527954
iter is 2580, overall loss is 1.1942782402038574
iter is 2590, overall loss is 1.7483972311019897
iter is 2600, overall loss is 1.3122286796569824
iter is 2610, overall loss is 1.2504559755325317
iter is 2620, overall loss is 1.3632878065109253
iter is 2630, overall loss is 1.0623319149017334
iter is 2640, overall loss is 1.41399347782135
iter is 2650, overall loss is 1.9098247289657593
iter is 2660, overall loss is 1.3880068063735962
iter is 2670, overall loss is 1.4800149202346802
iter is 2680, overall loss is 1.190782070159912
iter is 2690, overall loss is 1.2073783874511719
iter is 2700, overall loss is 1.1500420570373535
iter is 2710, overall loss is 1.38352370262146
iter is 2720, overall loss is 1.2736774682998657
iter is 2730, overall loss is 1.4839417934417725
iter is 2740, overall loss is 1.1764219999313354
iter is 2750, overall loss is 1.2068524360656738
iter is 2760, overall loss is 1.531193733215332
iter is 2770, overall loss is 1.6903517246246338
iter is 2780, overall loss is 1.8402373790740967
iter is 2790, overall loss is 1.4685262441635132
iter is 2800, overall loss is 1.0968639850616455
iter is 2810, overall loss is 1.3474366664886475
iter is 2820, overall loss is 1.3432366847991943
iter is 2830, overall loss is 1.47760009765625
iter is 2840, overall loss is 1.44991135597229
iter is 2850, overall loss is 1.2462271451950073
iter is 2860, overall loss is 1.5857267379760742
iter is 2870, overall loss is 1.4407947063446045
iter is 2880, overall loss is 1.3585264682769775
iter is 2890, overall loss is 1.462613821029663
iter is 2900, overall loss is 1.3399624824523926
iter is 2910, overall loss is 1.3851985931396484
iter is 2920, overall loss is 1.254536747932434
iter is 2930, overall loss is 1.3547735214233398
iter is 2940, overall loss is 1.1033002138137817
iter is 2950, overall loss is 1.2844723463058472
iter is 2960, overall loss is 1.4884989261627197
iter is 2970, overall loss is 1.7998619079589844
iter is 2980, overall loss is 1.6822932958602905
iter is 2990, overall loss is 1.3875032663345337
iter is 3000, overall loss is 1.7877017259597778
---------starting evaluation-----------
Racall rate is 0.6061022032397222, Precision rate is 0.8294411844494086, OA is 0.8777157821655274, F1 score is 0.700398376898682, IoU is 0.5389331349304406, Kappa coefficient is 0.6259008667443042
iter is 3010, overall loss is 1.0675231218338013
iter is 3020, overall loss is 1.5098950862884521
iter is 3030, overall loss is 1.1648101806640625
iter is 3040, overall loss is 1.4877123832702637
iter is 3050, overall loss is 1.721946120262146
iter is 3060, overall loss is 1.2295801639556885
iter is 3070, overall loss is 1.4072539806365967
iter is 3080, overall loss is 1.2774049043655396
iter is 3090, overall loss is 1.3541765213012695
iter is 3100, overall loss is 1.2862623929977417
iter is 3110, overall loss is 1.2265617847442627
iter is 3120, overall loss is 1.4350109100341797
iter is 3130, overall loss is 1.374667763710022
iter is 3140, overall loss is 1.2185951471328735
iter is 3150, overall loss is 1.2032294273376465
iter is 3160, overall loss is 1.752618670463562
iter is 3170, overall loss is 1.8304932117462158
iter is 3180, overall loss is 1.533190131187439
iter is 3190, overall loss is 1.2838973999023438
iter is 3200, overall loss is 1.2168917655944824
iter is 3210, overall loss is 1.3545079231262207
iter is 3220, overall loss is 1.2220537662506104
iter is 3230, overall loss is 1.5598499774932861
iter is 3240, overall loss is 1.1987316608428955
iter is 3250, overall loss is 1.3090213537216187
iter is 3260, overall loss is 1.2658815383911133
iter is 3270, overall loss is 1.158975601196289
iter is 3280, overall loss is 1.319899559020996
iter is 3290, overall loss is 1.2823516130447388
iter is 3300, overall loss is 0.8875447511672974
iter is 3310, overall loss is 1.5313944816589355
iter is 3320, overall loss is 1.4242143630981445
iter is 3330, overall loss is 1.4647316932678223
iter is 3340, overall loss is 1.3864039182662964
iter is 3350, overall loss is 1.47109055519104
iter is 3360, overall loss is 1.6148836612701416
iter is 3370, overall loss is 1.6519174575805664
iter is 3380, overall loss is 1.713378667831421
iter is 3390, overall loss is 1.2752909660339355
iter is 3400, overall loss is 1.2475206851959229
iter is 3410, overall loss is 1.7583162784576416
iter is 3420, overall loss is 1.334041714668274
iter is 3430, overall loss is 1.2210547924041748
iter is 3440, overall loss is 1.050473928451538
iter is 3450, overall loss is 1.2716190814971924
iter is 3460, overall loss is 1.4660425186157227
iter is 3470, overall loss is 1.3380143642425537
iter is 3480, overall loss is 1.5842571258544922
iter is 3490, overall loss is 1.3962643146514893
iter is 3500, overall loss is 1.5675053596496582
---------starting evaluation-----------
Racall rate is 0.7024641999406124, Precision rate is 0.7932046440565892, OA is 0.8866434936523437, F1 score is 0.7450818647626154, IoU is 0.5937294583934538, Kappa coefficient is 0.6725434742698284
iter is 3510, overall loss is 1.5324702262878418
iter is 3520, overall loss is 1.346178650856018
iter is 3530, overall loss is 1.6027864217758179
iter is 3540, overall loss is 1.3192275762557983
iter is 3550, overall loss is 1.3047401905059814
iter is 3560, overall loss is 1.4097044467926025
iter is 3570, overall loss is 1.5239815711975098
iter is 3580, overall loss is 1.506005883216858
iter is 3590, overall loss is 1.4126688241958618
iter is 3600, overall loss is 1.1347806453704834
iter is 3610, overall loss is 1.341835618019104
iter is 3620, overall loss is 1.1152228116989136
iter is 3630, overall loss is 1.4428044557571411
