/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
False
iter is 3870, change detection loss is nan, classification loss is nan
iter is 3880, change detection loss is nan, classification loss is nan
iter is 3890, change detection loss is nan, classification loss is nan
iter is 3900, change detection loss is nan, classification loss is nan
iter is 3910, change detection loss is nan, classification loss is nan
iter is 3920, change detection loss is nan, classification loss is nan
iter is 3930, change detection loss is nan, classification loss is nan
iter is 3940, change detection loss is nan, classification loss is nan
iter is 3950, change detection loss is nan, classification loss is nan
iter is 3960, change detection loss is nan, classification loss is nan
iter is 3970, change detection loss is nan, classification loss is nan
iter is 3980, change detection loss is nan, classification loss is nan
iter is 3990, change detection loss is nan, classification loss is nan
iter is 4000, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 4010, change detection loss is nan, classification loss is nan
iter is 4020, change detection loss is nan, classification loss is nan
iter is 4030, change detection loss is nan, classification loss is nan
iter is 4040, change detection loss is nan, classification loss is nan
iter is 4050, change detection loss is nan, classification loss is nan
iter is 4060, change detection loss is nan, classification loss is nan
iter is 4070, change detection loss is nan, classification loss is nan
iter is 4080, change detection loss is nan, classification loss is nan
iter is 4090, change detection loss is nan, classification loss is nan
iter is 4100, change detection loss is nan, classification loss is nan
iter is 4110, change detection loss is nan, classification loss is nan
iter is 4120, change detection loss is nan, classification loss is nan
iter is 4130, change detection loss is nan, classification loss is nan
iter is 4140, change detection loss is nan, classification loss is nan
iter is 4150, change detection loss is nan, classification loss is nan
iter is 4160, change detection loss is nan, classification loss is nan
iter is 4170, change detection loss is nan, classification loss is nan
iter is 4180, change detection loss is nan, classification loss is nan
iter is 4190, change detection loss is nan, classification loss is nan
iter is 4200, change detection loss is nan, classification loss is nan
iter is 4210, change detection loss is nan, classification loss is nan
iter is 4220, change detection loss is nan, classification loss is nan
iter is 4230, change detection loss is nan, classification loss is nan
iter is 4240, change detection loss is nan, classification loss is nan
iter is 4250, change detection loss is nan, classification loss is nan
iter is 4260, change detection loss is nan, classification loss is nan
iter is 4270, change detection loss is nan, classification loss is nan
iter is 4280, change detection loss is nan, classification loss is nan
iter is 4290, change detection loss is nan, classification loss is nan
iter is 4300, change detection loss is nan, classification loss is nan
iter is 4310, change detection loss is nan, classification loss is nan
iter is 4320, change detection loss is nan, classification loss is nan
iter is 4330, change detection loss is nan, classification loss is nan
iter is 4340, change detection loss is nan, classification loss is nan
iter is 4350, change detection loss is nan, classification loss is nan
iter is 4360, change detection loss is nan, classification loss is nan
iter is 4370, change detection loss is nan, classification loss is nan
