/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1780, overall loss is 0.5718633532524109
iter is 1790, overall loss is 0.5787837505340576
iter is 1800, overall loss is 0.6071720123291016
iter is 1810, overall loss is 0.5211766958236694
iter is 1820, overall loss is 0.7653415203094482
iter is 1830, overall loss is 0.5796238780021667
iter is 1840, overall loss is 0.5658777952194214
iter is 1850, overall loss is 0.5458129644393921
iter is 1860, overall loss is 1.0054036378860474
iter is 1870, overall loss is 0.6076638698577881
iter is 1880, overall loss is 0.7559705376625061
iter is 1890, overall loss is 0.9014440178871155
iter is 1900, overall loss is 1.3868905305862427
iter is 1910, overall loss is 0.8888760805130005
iter is 1920, overall loss is 0.7443357706069946
iter is 1930, overall loss is 0.4705546796321869
iter is 1940, overall loss is 0.4853209853172302
iter is 1950, overall loss is 1.0436524152755737
iter is 1960, overall loss is 0.6627417802810669
iter is 1970, overall loss is 0.638401210308075
iter is 1980, overall loss is 0.9954382181167603
iter is 1990, overall loss is 0.508758544921875
iter is 2000, overall loss is 0.6439467668533325
---------starting evaluation-----------
Racall rate is 0.7078307492591869, Precision rate is 0.722007212491162, OA is 0.8668270072937012, F1 score is 0.7148487029432885, IoU is 0.556237000717701, Kappa coefficient is 0.6279875491700455
iter is 2010, overall loss is 0.509559154510498
iter is 2020, overall loss is 1.0818865299224854
iter is 2030, overall loss is 0.42436933517456055
iter is 2040, overall loss is 0.5422111749649048
iter is 2050, overall loss is 0.8659020662307739
iter is 2060, overall loss is 0.55024254322052
iter is 2070, overall loss is 0.7181612849235535
iter is 2080, overall loss is 0.5120419263839722
iter is 2090, overall loss is 0.7071163058280945
iter is 2100, overall loss is 0.7362552881240845
iter is 2110, overall loss is 0.674430251121521
iter is 2120, overall loss is 0.5698434114456177
iter is 2130, overall loss is 0.5194393396377563
iter is 2140, overall loss is 0.8073646426200867
iter is 2150, overall loss is 0.9828948974609375
iter is 2160, overall loss is 0.7135522365570068
iter is 2170, overall loss is 0.44731929898262024
iter is 2180, overall loss is 0.5566973090171814
iter is 2190, overall loss is 0.701949954032898
iter is 2200, overall loss is 0.5770787596702576
iter is 2210, overall loss is 0.7487456202507019
iter is 2220, overall loss is 0.6943540573120117
iter is 2230, overall loss is 0.7985199689865112
iter is 2240, overall loss is 0.8149662017822266
iter is 2250, overall loss is 0.5412381291389465
iter is 2260, overall loss is 0.5717132091522217
iter is 2270, overall loss is 1.0502055883407593
iter is 2280, overall loss is 0.376382976770401
iter is 2290, overall loss is 0.3031712472438812
iter is 2300, overall loss is 0.891234278678894
iter is 2310, overall loss is 0.6027716398239136
iter is 2320, overall loss is 0.4382909834384918
iter is 2330, overall loss is 0.4908555746078491
iter is 2340, overall loss is 0.5770643949508667
iter is 2350, overall loss is 0.6245143413543701
iter is 2360, overall loss is 0.9037046432495117
iter is 2370, overall loss is 0.562417209148407
iter is 2380, overall loss is 0.7893384099006653
iter is 2390, overall loss is 0.7295029163360596
iter is 2400, overall loss is 0.5589596629142761
iter is 2410, overall loss is 0.7833622694015503
iter is 2420, overall loss is 0.923897385597229
iter is 2430, overall loss is 0.7068448066711426
iter is 2440, overall loss is 0.637775182723999
iter is 2450, overall loss is 0.33432072401046753
iter is 2460, overall loss is 0.6665298342704773
iter is 2470, overall loss is 0.507432758808136
iter is 2480, overall loss is 0.8843517899513245
iter is 2490, overall loss is 0.5194598436355591
iter is 2500, overall loss is 1.4556684494018555
---------starting evaluation-----------
Racall rate is 0.6128841634620205, Precision rate is 0.7754558914608279, OA is 0.8668549957275391, F1 score is 0.6846516221360132, IoU is 0.5205097247679955, Kappa coefficient is 0.6017256913608318
iter is 2510, overall loss is 0.4160728454589844
iter is 2520, overall loss is 0.4027426838874817
iter is 2530, overall loss is 0.628607988357544
iter is 2540, overall loss is 0.3754381835460663
iter is 2550, overall loss is 0.5464015603065491
iter is 2560, overall loss is 0.9584638476371765
iter is 2570, overall loss is 0.6247397661209106
iter is 2580, overall loss is 0.8068966865539551
iter is 2590, overall loss is 0.6437765955924988
iter is 2600, overall loss is 0.6332523822784424
iter is 2610, overall loss is 0.8504626750946045
iter is 2620, overall loss is 0.8083928823471069
iter is 2630, overall loss is 0.7363563776016235
iter is 2640, overall loss is 0.9341112375259399
iter is 2650, overall loss is 0.6157947778701782
