/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 3760, overall loss is 0.32005566358566284
iter is 3770, overall loss is 0.2852676808834076
iter is 3780, overall loss is 0.27960050106048584
iter is 3790, overall loss is 0.2609635889530182
iter is 3800, overall loss is 0.2631753981113434
iter is 3810, overall loss is 0.3159802258014679
iter is 3820, overall loss is 0.24305599927902222
iter is 3830, overall loss is 0.37603992223739624
iter is 3840, overall loss is 0.2725069522857666
iter is 3850, overall loss is 0.28052932024002075
iter is 3860, overall loss is 0.27365362644195557
iter is 3870, overall loss is 0.33212023973464966
iter is 3880, overall loss is 0.26660585403442383
iter is 3890, overall loss is 0.2623251676559448
iter is 3900, overall loss is 0.31094133853912354
iter is 3910, overall loss is 0.3004177212715149
iter is 3920, overall loss is 0.34297412633895874
iter is 3930, overall loss is 0.287151575088501
iter is 3940, overall loss is 0.2732867896556854
iter is 3950, overall loss is 0.30139926075935364
iter is 3960, overall loss is 0.2734984755516052
iter is 3970, overall loss is 0.2681533396244049
iter is 3980, overall loss is 0.2808745205402374
iter is 3990, overall loss is 0.3035404682159424
iter is 4000, overall loss is 0.26736992597579956
---------starting evaluation-----------
Racall rate is 0.8335633693537029, Precision rate is 0.8820055061971801, OA is 0.9858406111598015, F1 score is 0.857100512852518, IoU is 0.7499351627077211, Kappa coefficient is 0.8496580330891164
iter is 4010, overall loss is 0.30790257453918457
iter is 4020, overall loss is 0.29851868748664856
iter is 4030, overall loss is 0.3297305405139923
iter is 4040, overall loss is 0.32772165536880493
iter is 4050, overall loss is 0.32794976234436035
iter is 4060, overall loss is 0.2758701741695404
iter is 4070, overall loss is 0.27684488892555237
iter is 4080, overall loss is 0.2364812195301056
iter is 4090, overall loss is 0.3316609263420105
iter is 4100, overall loss is 0.28189903497695923
iter is 4110, overall loss is 0.28015971183776855
iter is 4120, overall loss is 0.27145707607269287
iter is 4130, overall loss is 0.26819950342178345
iter is 4140, overall loss is 0.2919261157512665
iter is 4150, overall loss is 0.3150213956832886
iter is 4160, overall loss is 0.3645899295806885
iter is 4170, overall loss is 0.2736726403236389
iter is 4180, overall loss is 0.3822455406188965
iter is 4190, overall loss is 0.3531898856163025
iter is 4200, overall loss is 0.31345227360725403
iter is 4210, overall loss is 0.37005147337913513
iter is 4220, overall loss is 0.26704490184783936
iter is 4230, overall loss is 0.3257405161857605
iter is 4240, overall loss is 0.3018662929534912
iter is 4250, overall loss is 0.2918705940246582
iter is 4260, overall loss is 0.27830058336257935
iter is 4270, overall loss is 0.32399284839630127
iter is 4280, overall loss is 0.2852500081062317
iter is 4290, overall loss is 0.34831100702285767
iter is 4300, overall loss is 0.2948214113712311
iter is 4310, overall loss is 0.31691908836364746
iter is 4320, overall loss is 0.2552128732204437
iter is 4330, overall loss is 0.26590415835380554
iter is 4340, overall loss is 0.4498768448829651
iter is 4350, overall loss is 0.29921168088912964
iter is 4360, overall loss is 0.3185774087905884
iter is 4370, overall loss is 0.25643494725227356
iter is 4380, overall loss is 0.26250016689300537
iter is 4390, overall loss is 0.2989453077316284
iter is 4400, overall loss is 0.3048548102378845
iter is 4410, overall loss is 0.3265284299850464
iter is 4420, overall loss is 0.363622784614563
iter is 4430, overall loss is 0.2574653625488281
iter is 4440, overall loss is 0.2551507353782654
iter is 4450, overall loss is 0.27947407960891724
iter is 4460, overall loss is 0.33410677313804626
iter is 4470, overall loss is 0.3102441430091858
iter is 4480, overall loss is 0.25546613335609436
iter is 4490, overall loss is 0.28172504901885986
iter is 4500, overall loss is 0.2775273323059082
---------starting evaluation-----------
Racall rate is 0.8595541976515704, Precision rate is 0.8343192595034339, OA is 0.9841499850153923, F1 score is 0.8467487564179969, IoU is 0.7342274817653712, Kappa coefficient is 0.8383935341543963
iter is 4510, overall loss is 0.31977105140686035
iter is 4520, overall loss is 0.3019051253795624
iter is 4530, overall loss is 0.30658966302871704
iter is 4540, overall loss is 0.35487544536590576
iter is 4550, overall loss is 0.29063841700553894
iter is 4560, overall loss is 0.31638285517692566
iter is 4570, overall loss is 0.30689042806625366
iter is 4580, overall loss is 0.3038684129714966
iter is 4590, overall loss is 0.26529356837272644
iter is 4600, overall loss is 0.2581123113632202
iter is 4610, overall loss is 0.370826780796051
iter is 4620, overall loss is 0.23427298665046692
iter is 4630, overall loss is 0.24359217286109924
iter is 4640, overall loss is 0.28628307580947876
iter is 4650, overall loss is 0.2884039580821991
iter is 4660, overall loss is 0.30839353799819946
iter is 4670, overall loss is 0.27113962173461914
iter is 4680, overall loss is 0.31198781728744507
iter is 4690, overall loss is 0.2900417149066925
iter is 4700, overall loss is 0.31791752576828003
iter is 4710, overall loss is 0.23247690498828888
iter is 4720, overall loss is 0.30526041984558105
iter is 4730, overall loss is 0.29725128412246704
iter is 4740, overall loss is 0.2576560974121094
iter is 4750, overall loss is 0.248198002576828
iter is 4760, overall loss is 0.25746291875839233
iter is 4770, overall loss is 0.29819995164871216
iter is 4780, overall loss is 0.2673332691192627
iter is 4790, overall loss is 0.27924472093582153
iter is 4800, overall loss is 0.25809717178344727
iter is 4810, overall loss is 0.2741578221321106
iter is 4820, overall loss is 0.2727319896221161
iter is 4830, overall loss is 0.27907273173332214
iter is 4840, overall loss is 0.28644123673439026
iter is 4850, overall loss is 0.2726272940635681
iter is 4860, overall loss is 0.27633634209632874
iter is 4870, overall loss is 0.24908152222633362
iter is 4880, overall loss is 0.3012506365776062
iter is 4890, overall loss is 0.2967277765274048
iter is 4900, overall loss is 0.2847384214401245
iter is 4910, overall loss is 0.3174947500228882
iter is 4920, overall loss is 0.3196616470813751
iter is 4930, overall loss is 0.2760065793991089
iter is 4940, overall loss is 0.3451470732688904
iter is 4950, overall loss is 0.27195894718170166
