/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 2820, overall loss is 1.5649269819259644
iter is 2830, overall loss is 1.8539758920669556
iter is 2840, overall loss is 1.976057529449463
iter is 2850, overall loss is 2.022536516189575
iter is 2860, overall loss is 2.050374984741211
iter is 2870, overall loss is 1.9874881505966187
iter is 2880, overall loss is 1.79361093044281
iter is 2890, overall loss is 1.914467692375183
iter is 2900, overall loss is 1.6566131114959717
iter is 2910, overall loss is 1.530288577079773
iter is 2920, overall loss is 1.9806368350982666
iter is 2930, overall loss is 1.6262826919555664
iter is 2940, overall loss is 2.5850319862365723
iter is 2950, overall loss is 1.7556571960449219
iter is 2960, overall loss is 1.3361209630966187
iter is 2970, overall loss is 1.7919644117355347
iter is 2980, overall loss is 1.779612421989441
iter is 2990, overall loss is 1.446606159210205
iter is 3000, overall loss is 1.9621241092681885
---------starting evaluation-----------
Recall rate is 0.6407108293136448, Precision rate is 0.7965799976611002, OA is 0.8766842269897461, F1 score is 0.7101936801341218, IoU is 0.5506204064870546, Kappa coefficient is 0.6330388734385072
iter is 3010, overall loss is 1.760953664779663
iter is 3020, overall loss is 1.8287051916122437
iter is 3030, overall loss is 1.913089394569397
iter is 3040, overall loss is 1.6926170587539673
iter is 3050, overall loss is 1.9759023189544678
iter is 3060, overall loss is 2.0602033138275146
iter is 3070, overall loss is 2.0066583156585693
iter is 3080, overall loss is 1.735975980758667
iter is 3090, overall loss is 1.9506908655166626
iter is 3100, overall loss is 1.956739902496338
iter is 3110, overall loss is 2.051124095916748
iter is 3120, overall loss is 1.758175253868103
iter is 3130, overall loss is 1.6871297359466553
iter is 3140, overall loss is 1.5317070484161377
iter is 3150, overall loss is 1.8662211894989014
iter is 3160, overall loss is 2.2466368675231934
iter is 3170, overall loss is 1.4767552614212036
iter is 3180, overall loss is 1.830502986907959
iter is 3190, overall loss is 1.7734943628311157
iter is 3200, overall loss is 2.507246494293213
iter is 3210, overall loss is 1.7232179641723633
iter is 3220, overall loss is 2.016791820526123
iter is 3230, overall loss is 1.7950048446655273
iter is 3240, overall loss is 1.8205145597457886
iter is 3250, overall loss is 1.701026201248169
iter is 3260, overall loss is 2.0331785678863525
iter is 3270, overall loss is 2.219475507736206
iter is 3280, overall loss is 1.4349358081817627
iter is 3290, overall loss is 2.0189876556396484
iter is 3300, overall loss is 1.724090576171875
iter is 3310, overall loss is 1.830075979232788
iter is 3320, overall loss is 1.7021151781082153
iter is 3330, overall loss is 1.9697643518447876
iter is 3340, overall loss is 1.2549967765808105
iter is 3350, overall loss is 2.4181573390960693
iter is 3360, overall loss is 2.0836541652679443
iter is 3370, overall loss is 1.9303487539291382
iter is 3380, overall loss is 2.3426566123962402
iter is 3390, overall loss is 1.461959958076477
iter is 3400, overall loss is 1.6876577138900757
iter is 3410, overall loss is 2.0417354106903076
iter is 3420, overall loss is 1.9617323875427246
iter is 3430, overall loss is 1.9042210578918457
iter is 3440, overall loss is 2.2701098918914795
iter is 3450, overall loss is 2.09232759475708
iter is 3460, overall loss is 1.793206810951233
iter is 3470, overall loss is 1.7319337129592896
iter is 3480, overall loss is 1.6510062217712402
iter is 3490, overall loss is 1.7535101175308228
iter is 3500, overall loss is 2.0767552852630615
---------starting evaluation-----------
Recall rate is 0.7712189387291036, Precision rate is 0.735142572132188, OA is 0.8805209808349609, F1 score is 0.7527487528145903, IoU is 0.6035261576312464, Kappa coefficient is 0.6740363514247121
iter is 3510, overall loss is 2.087176561355591
iter is 3520, overall loss is 1.7014354467391968
iter is 3530, overall loss is 1.918495535850525
iter is 3540, overall loss is 2.0177042484283447
iter is 3550, overall loss is 1.7686896324157715
iter is 3560, overall loss is 1.9569120407104492
iter is 3570, overall loss is 2.1417386531829834
iter is 3580, overall loss is 1.8931292295455933
iter is 3590, overall loss is 1.7178068161010742
iter is 3600, overall loss is 1.7756558656692505
iter is 3610, overall loss is 1.8714985847473145
iter is 3620, overall loss is 1.6905609369277954
iter is 3630, overall loss is 1.8271827697753906
iter is 3640, overall loss is 1.8665826320648193
iter is 3650, overall loss is 1.6014918088912964
iter is 3660, overall loss is 1.4976004362106323
iter is 3670, overall loss is 2.0175936222076416
iter is 3680, overall loss is 2.034590721130371
iter is 3690, overall loss is 1.8978681564331055
iter is 3700, overall loss is 2.290069103240967
iter is 3710, overall loss is 1.8953205347061157
iter is 3720, overall loss is 1.7059075832366943
iter is 3730, overall loss is 1.6215789318084717
iter is 3740, overall loss is 1.5877660512924194
iter is 3750, overall loss is 1.6914644241333008
iter is 3760, overall loss is 1.3009651899337769
iter is 3770, overall loss is 1.7174538373947144
iter is 3780, overall loss is 1.9688422679901123
iter is 3790, overall loss is 1.7956222295761108
iter is 3800, overall loss is 2.1700284481048584
iter is 3810, overall loss is 2.2459235191345215
iter is 3820, overall loss is 1.9082114696502686
iter is 3830, overall loss is 1.9454498291015625
iter is 3840, overall loss is 2.320791244506836
iter is 3850, overall loss is 1.4776095151901245
iter is 3860, overall loss is 2.0773651599884033
iter is 3870, overall loss is 1.7430213689804077
iter is 3880, overall loss is 1.7591736316680908
iter is 3890, overall loss is 1.9396276473999023
iter is 3900, overall loss is 2.2177915573120117
iter is 3910, overall loss is 2.2040631771087646
iter is 3920, overall loss is 1.8954226970672607
iter is 3930, overall loss is 1.886721134185791
iter is 3940, overall loss is 1.7058351039886475
iter is 3950, overall loss is 1.7356737852096558
iter is 3960, overall loss is 2.017361879348755
iter is 3970, overall loss is 1.5257830619812012
iter is 3980, overall loss is 1.9614516496658325
iter is 3990, overall loss is 1.6429426670074463
iter is 4000, overall loss is 1.7076358795166016
---------starting evaluation-----------
Recall rate is 0.652310916060983, Precision rate is 0.8285155637977459, OA is 0.8861650657653809, F1 score is 0.7299298786759248, IoU is 0.5747162037911399, Kappa coefficient is 0.6591027802951975
iter is 4010, overall loss is 1.4511616230010986
iter is 4020, overall loss is 2.0413002967834473
iter is 4030, overall loss is 1.8367928266525269
iter is 4040, overall loss is 2.035573959350586
iter is 4050, overall loss is 1.936490774154663
iter is 4060, overall loss is 1.589957356452942
iter is 4070, overall loss is 1.593916416168213
iter is 4080, overall loss is 2.1306886672973633
iter is 4090, overall loss is 2.0263707637786865
iter is 4100, overall loss is 1.8277407884597778
iter is 4110, overall loss is 1.9497636556625366
iter is 4120, overall loss is 1.6992740631103516
iter is 4130, overall loss is 1.8407354354858398
iter is 4140, overall loss is 1.911930799484253
iter is 4150, overall loss is 1.9452232122421265
iter is 4160, overall loss is 1.72543203830719
iter is 4170, overall loss is 1.5041605234146118
iter is 4180, overall loss is 1.6332857608795166
iter is 4190, overall loss is 1.7446805238723755
iter is 4200, overall loss is 1.7064604759216309
iter is 4210, overall loss is 2.022855281829834
iter is 4220, overall loss is 1.9769643545150757
iter is 4230, overall loss is 1.5154383182525635
iter is 4240, overall loss is 1.6026976108551025
iter is 4250, overall loss is 2.2342848777770996
iter is 4260, overall loss is 2.1485612392425537
iter is 4270, overall loss is 1.7230552434921265
iter is 4280, overall loss is 2.048110246658325
iter is 4290, overall loss is 2.3313076496124268
iter is 4300, overall loss is 1.5860059261322021
iter is 4310, overall loss is 1.7451772689819336
iter is 4320, overall loss is 1.8621649742126465
iter is 4330, overall loss is 1.6755903959274292
iter is 4340, overall loss is 1.8821290731430054
iter is 4350, overall loss is 1.7648382186889648
iter is 4360, overall loss is 1.6929147243499756
iter is 4370, overall loss is 1.6995198726654053
iter is 4380, overall loss is 1.466349482536316
iter is 4390, overall loss is 1.8921730518341064
iter is 4400, overall loss is 1.625433325767517
iter is 4410, overall loss is 1.918600082397461
iter is 4420, overall loss is 1.800218105316162
iter is 4430, overall loss is 1.468751072883606
iter is 4440, overall loss is 2.0343339443206787
iter is 4450, overall loss is 1.3416944742202759
iter is 4460, overall loss is 1.6433241367340088
iter is 4470, overall loss is 2.2131543159484863
iter is 4480, overall loss is 1.7113977670669556
iter is 4490, overall loss is 1.7929831743240356
iter is 4500, overall loss is 1.4569530487060547
---------starting evaluation-----------
Recall rate is 0.660468931575376, Precision rate is 0.8278856423255725, OA is 0.8875477104187012, F1 score is 0.7347614005985571, IoU is 0.5807295169038921, Kappa coefficient is 0.6645517046019795
iter is 4510, overall loss is 2.010199785232544
iter is 4520, overall loss is 2.0148561000823975
iter is 4530, overall loss is 2.026496648788452
iter is 4540, overall loss is 1.929610252380371
iter is 4550, overall loss is 1.8863776922225952
iter is 4560, overall loss is 1.7195683717727661
iter is 4570, overall loss is 1.7140235900878906
iter is 4580, overall loss is 1.9010672569274902
iter is 4590, overall loss is 1.5500637292861938
iter is 4600, overall loss is 1.8316469192504883
iter is 4610, overall loss is 1.6823009252548218
iter is 4620, overall loss is 1.448444128036499
iter is 4630, overall loss is 1.9573452472686768
iter is 4640, overall loss is 1.8836027383804321
iter is 4650, overall loss is 1.6921958923339844
iter is 4660, overall loss is 1.8996527194976807
iter is 4670, overall loss is 1.8422963619232178
iter is 4680, overall loss is 1.972527027130127
iter is 4690, overall loss is 1.971235990524292
iter is 4700, overall loss is 1.7361842393875122
iter is 4710, overall loss is 1.7280915975570679
iter is 4720, overall loss is 1.7091251611709595
iter is 4730, overall loss is 2.037838935852051
iter is 4740, overall loss is 1.4143438339233398
iter is 4750, overall loss is 2.873955011367798
iter is 4760, overall loss is 1.5285545587539673
iter is 4770, overall loss is 1.713179588317871
iter is 4780, overall loss is 1.7109602689743042
iter is 4790, overall loss is 1.5491878986358643
iter is 4800, overall loss is 1.8157297372817993
iter is 4810, overall loss is 2.040269374847412
iter is 4820, overall loss is 2.1740596294403076
iter is 4830, overall loss is 1.7665126323699951
iter is 4840, overall loss is 1.8076764345169067
iter is 4850, overall loss is 1.6553914546966553
iter is 4860, overall loss is 1.6444664001464844
iter is 4870, overall loss is 1.8561114072799683
iter is 4880, overall loss is 2.449390172958374
iter is 4890, overall loss is 1.4804344177246094
iter is 4900, overall loss is 2.086574077606201
iter is 4910, overall loss is 1.5512335300445557
iter is 4920, overall loss is 1.1827633380889893
iter is 4930, overall loss is 2.0592825412750244
iter is 4940, overall loss is 1.5250118970870972
iter is 4950, overall loss is 2.102466583251953
iter is 4960, overall loss is 1.3920965194702148
iter is 4970, overall loss is 2.051628828048706
iter is 4980, overall loss is 1.6005909442901611
iter is 4990, overall loss is 2.241727590560913
iter is 5000, overall loss is 1.6180142164230347
---------starting evaluation-----------
Recall rate is 0.6866645798864485, Precision rate is 0.8278733614657907, OA is 0.8924381637573242, F1 score is 0.7506861312996036, IoU is 0.6008787304030392, Kappa coefficient is 0.6828711279303642
iter is 5010, overall loss is 1.8798902034759521
iter is 5020, overall loss is 1.5508766174316406
iter is 5030, overall loss is 1.8875964879989624
iter is 5040, overall loss is 1.6376417875289917
iter is 5050, overall loss is 1.6371593475341797
iter is 5060, overall loss is 1.4182738065719604
iter is 5070, overall loss is 1.7542898654937744
iter is 5080, overall loss is 1.6212605237960815
iter is 5090, overall loss is 1.8728710412979126
iter is 5100, overall loss is 1.9836888313293457
iter is 5110, overall loss is 1.7185174226760864
iter is 5120, overall loss is 1.8017001152038574
iter is 5130, overall loss is 1.5331470966339111
iter is 5140, overall loss is 1.7191401720046997
iter is 5150, overall loss is 1.8077807426452637
iter is 5160, overall loss is 1.2075469493865967
iter is 5170, overall loss is 2.286097764968872
iter is 5180, overall loss is 1.8025784492492676
iter is 5190, overall loss is 1.5007370710372925
iter is 5200, overall loss is 1.7775381803512573
iter is 5210, overall loss is 1.2555091381072998
iter is 5220, overall loss is 1.6473958492279053
iter is 5230, overall loss is 1.8324800729751587
iter is 5240, overall loss is 1.7241593599319458
iter is 5250, overall loss is 1.5755648612976074
iter is 5260, overall loss is 1.8367531299591064
iter is 5270, overall loss is 2.093567371368408
iter is 5280, overall loss is 1.4310084581375122
iter is 5290, overall loss is 1.5577908754348755
iter is 5300, overall loss is 1.7966188192367554
iter is 5310, overall loss is 1.1454623937606812
iter is 5320, overall loss is 2.204087734222412
iter is 5330, overall loss is 1.842198371887207
iter is 5340, overall loss is 1.3281562328338623
iter is 5350, overall loss is 1.8443187475204468
iter is 5360, overall loss is 1.5941319465637207
iter is 5370, overall loss is 1.4831812381744385
iter is 5380, overall loss is 1.868487000465393
iter is 5390, overall loss is 1.6934603452682495
iter is 5400, overall loss is 1.5254324674606323
iter is 5410, overall loss is 1.547161340713501
iter is 5420, overall loss is 1.3341095447540283
iter is 5430, overall loss is 1.5689425468444824
iter is 5440, overall loss is 1.471298098564148
iter is 5450, overall loss is 1.7486881017684937
iter is 5460, overall loss is 1.4443280696868896
iter is 5470, overall loss is 1.5619856119155884
iter is 5480, overall loss is 1.6171671152114868
iter is 5490, overall loss is 1.5865685939788818
iter is 5500, overall loss is 1.2541227340698242
---------starting evaluation-----------
Recall rate is 0.6773959532175817, Precision rate is 0.7945419452079018, OA is 0.8826119270324707, F1 score is 0.7313073451280601, IoU is 0.5764259313079078, Kappa coefficient is 0.6568160345740447
iter is 5510, overall loss is 1.3959215879440308
iter is 5520, overall loss is 1.5734561681747437
iter is 5530, overall loss is 1.5589653253555298
iter is 5540, overall loss is 1.5697476863861084
iter is 5550, overall loss is 1.326598882675171
iter is 5560, overall loss is 1.6760183572769165
iter is 5570, overall loss is 2.1239254474639893
iter is 5580, overall loss is 1.4751542806625366
iter is 5590, overall loss is 1.3008242845535278
iter is 5600, overall loss is 1.3241610527038574
iter is 5610, overall loss is 1.6391981840133667
iter is 5620, overall loss is 1.980297565460205
iter is 5630, overall loss is 1.5503729581832886
iter is 5640, overall loss is 1.9256013631820679
iter is 5650, overall loss is 1.9741084575653076
iter is 5660, overall loss is 1.5964902639389038
iter is 5670, overall loss is 1.649768352508545
iter is 5680, overall loss is 1.4432766437530518
iter is 5690, overall loss is 1.7184315919876099
iter is 5700, overall loss is 1.4806735515594482
iter is 5710, overall loss is 1.9222476482391357
iter is 5720, overall loss is 1.5673826932907104
iter is 5730, overall loss is 1.7168946266174316
iter is 5740, overall loss is 1.8323969841003418
iter is 5750, overall loss is 1.4493032693862915
iter is 5760, overall loss is 1.5890469551086426
iter is 5770, overall loss is 1.2306830883026123
iter is 5780, overall loss is 1.551769733428955
iter is 5790, overall loss is 1.8289966583251953
iter is 5800, overall loss is 1.7508245706558228
iter is 5810, overall loss is 1.659725308418274
iter is 5820, overall loss is 2.706667423248291
iter is 5830, overall loss is 1.5641118288040161
iter is 5840, overall loss is 1.6561685800552368
iter is 5850, overall loss is 1.6275832653045654
