/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 1870, overall loss is 1.7478935718536377
iter is 1880, overall loss is 1.210471510887146
iter is 1890, overall loss is 1.1848516464233398
iter is 1900, overall loss is 1.3153622150421143
iter is 1910, overall loss is 1.4129141569137573
iter is 1920, overall loss is 1.25822913646698
iter is 1930, overall loss is 1.2790720462799072
iter is 1940, overall loss is 1.5192811489105225
iter is 1950, overall loss is 1.4551249742507935
iter is 1960, overall loss is 1.3194879293441772
iter is 1970, overall loss is 1.408660888671875
iter is 1980, overall loss is 1.4437165260314941
iter is 1990, overall loss is 1.453033685684204
iter is 2000, overall loss is 1.4682092666625977
---------starting evaluation-----------
Recall rate is 0.8528280389947253, Precision rate is 0.8443905980836578, OA is 0.9844964668154716, F1 score is 0.8485883458702694, IoU is 0.7369982254623404, Kappa coefficient is 0.8404185132892243
iter is 2010, overall loss is 1.3585771322250366
iter is 2020, overall loss is 1.0688045024871826
iter is 2030, overall loss is 1.2966980934143066
iter is 2040, overall loss is 0.9149379730224609
iter is 2050, overall loss is 1.3834044933319092
iter is 2060, overall loss is 1.0696126222610474
iter is 2070, overall loss is 1.531265377998352
iter is 2080, overall loss is 1.5094082355499268
iter is 2090, overall loss is 1.2091741561889648
iter is 2100, overall loss is 1.67641019821167
iter is 2110, overall loss is 1.6290452480316162
iter is 2120, overall loss is 1.3178822994232178
iter is 2130, overall loss is 1.2546523809432983
iter is 2140, overall loss is 1.251051664352417
iter is 2150, overall loss is 1.293056607246399
iter is 2160, overall loss is 1.5924842357635498
iter is 2170, overall loss is 1.314516544342041
iter is 2180, overall loss is 0.9477769136428833
iter is 2190, overall loss is 1.3208926916122437
iter is 2200, overall loss is 1.3945242166519165
iter is 2210, overall loss is 1.4673032760620117
iter is 2220, overall loss is 1.3889846801757812
iter is 2230, overall loss is 1.4338454008102417
iter is 2240, overall loss is 1.106323480606079
iter is 2250, overall loss is 1.6192058324813843
iter is 2260, overall loss is 1.3332362174987793
iter is 2270, overall loss is 1.5301769971847534
iter is 2280, overall loss is 1.1561421155929565
iter is 2290, overall loss is 1.3741426467895508
iter is 2300, overall loss is 1.2600632905960083
iter is 2310, overall loss is 1.3984160423278809
iter is 2320, overall loss is 1.9454632997512817
iter is 2330, overall loss is 1.270976185798645
iter is 2340, overall loss is 1.0696642398834229
iter is 2350, overall loss is 1.3153096437454224
iter is 2360, overall loss is 1.2656553983688354
iter is 2370, overall loss is 1.4523396492004395
iter is 2380, overall loss is 1.0407196283340454
iter is 2390, overall loss is 1.610813021659851
iter is 2400, overall loss is 1.3253792524337769
iter is 2410, overall loss is 1.558056354522705
iter is 2420, overall loss is 1.5731377601623535
iter is 2430, overall loss is 1.526714563369751
iter is 2440, overall loss is 1.2819008827209473
iter is 2450, overall loss is 1.4194679260253906
iter is 2460, overall loss is 1.240294098854065
iter is 2470, overall loss is 1.3977359533309937
iter is 2480, overall loss is 1.3170545101165771
iter is 2490, overall loss is 1.4863171577453613
iter is 2500, overall loss is 1.4615534543991089
---------starting evaluation-----------
Recall rate is 0.8454131617070101, Precision rate is 0.8676488578470097, OA is 0.9855555593967438, F1 score is 0.8563866991282457, IoU is 0.7488428986226714, Kappa coefficient is 0.8487833947952157
iter is 2510, overall loss is 1.510981559753418
iter is 2520, overall loss is 1.5223854780197144
iter is 2530, overall loss is 1.2488791942596436
iter is 2540, overall loss is 1.4217960834503174
iter is 2550, overall loss is 1.486627221107483
iter is 2560, overall loss is 1.4974414110183716
iter is 2570, overall loss is 1.1984261274337769
iter is 2580, overall loss is 1.676569938659668
iter is 2590, overall loss is 1.2082842588424683
iter is 2600, overall loss is 1.1729954481124878
iter is 2610, overall loss is 1.1585685014724731
iter is 2620, overall loss is 1.3672195672988892
iter is 2630, overall loss is 1.1765819787979126
iter is 2640, overall loss is 1.060258388519287
iter is 2650, overall loss is 1.4119071960449219
iter is 2660, overall loss is 0.9650564193725586
iter is 2670, overall loss is 1.535718560218811
iter is 2680, overall loss is 1.1345723867416382
iter is 2690, overall loss is 1.4074910879135132
iter is 2700, overall loss is 1.0274474620819092
iter is 2710, overall loss is 1.3779480457305908
iter is 2720, overall loss is 1.366456389427185
iter is 2730, overall loss is 1.0269562005996704
iter is 2740, overall loss is 1.176336646080017
iter is 2750, overall loss is 1.670615792274475
iter is 2760, overall loss is 1.1222220659255981
iter is 2770, overall loss is 1.7499589920043945
iter is 2780, overall loss is 1.4624438285827637
iter is 2790, overall loss is 1.538203477859497
iter is 2800, overall loss is 1.3266979455947876
iter is 2810, overall loss is 1.5258845090866089
iter is 2820, overall loss is 1.1798151731491089
iter is 2830, overall loss is 1.078657627105713
iter is 2840, overall loss is 1.3186893463134766
iter is 2850, overall loss is 1.2524054050445557
iter is 2860, overall loss is 1.4913537502288818
iter is 2870, overall loss is 1.2114448547363281
iter is 2880, overall loss is 1.5248234272003174
iter is 2890, overall loss is 1.3867144584655762
iter is 2900, overall loss is 1.3012068271636963
iter is 2910, overall loss is 1.3193902969360352
iter is 2920, overall loss is 1.4989739656448364
iter is 2930, overall loss is 1.3321869373321533
iter is 2940, overall loss is 1.474202275276184
iter is 2950, overall loss is 1.4118359088897705
iter is 2960, overall loss is 1.2312263250350952
iter is 2970, overall loss is 1.4439382553100586
iter is 2980, overall loss is 1.6558549404144287
iter is 2990, overall loss is 1.363145351409912
iter is 3000, overall loss is 1.345956802368164
---------starting evaluation-----------
Recall rate is 0.8439592326542432, Precision rate is 0.8746029910395523, OA is 0.9858867824077606, F1 score is 0.8590079067470096, IoU is 0.7528605253503214, Kappa coefficient is 0.8515819952669365
iter is 3010, overall loss is 1.6340612173080444
iter is 3020, overall loss is 1.2442631721496582
iter is 3030, overall loss is 1.3922182321548462
iter is 3040, overall loss is 1.0705852508544922
iter is 3050, overall loss is 1.1592782735824585
iter is 3060, overall loss is 1.405103325843811
iter is 3070, overall loss is 1.447818636894226
iter is 3080, overall loss is 1.3399959802627563
iter is 3090, overall loss is 1.1997957229614258
iter is 3100, overall loss is 1.3838398456573486
iter is 3110, overall loss is 1.2596535682678223
iter is 3120, overall loss is 1.5051002502441406
iter is 3130, overall loss is 0.9167839884757996
iter is 3140, overall loss is 1.1965383291244507
iter is 3150, overall loss is 1.6867938041687012
iter is 3160, overall loss is 1.4254580736160278
iter is 3170, overall loss is 1.117965579032898
iter is 3180, overall loss is 1.1630730628967285
iter is 3190, overall loss is 1.3953756093978882
iter is 3200, overall loss is 1.0366322994232178
